day_of_week,mean,median,std,min,max,count
0,39.694746376811594,31.05,37.50659610424044,1.58,237.0,644
1,41.84425287356322,32.7,37.641212320308306,0.0,232.0,609
2,43.09600482315113,32.2,38.007817682512304,0.1,237.0,622
3,37.793135464231355,31.1,31.047929979429167,0.8,205.0,657
4,39.91966074313409,31.0,38.38789930001238,4.0,246.0,619
5,41.800567260940035,29.8,45.84030638723839,0.425,345.0,617
6,40.96792542542543,29.200000000000003,43.28706310909921,1.07,284.0,666
