day,MAE,RMSE,R2
Day 1,9.9975532690684,12.171969151829904,-0.0950036992629369
Day 2,11.219673117001852,13.344539552862166,-0.5413980484008789
Day 3,11.238310813903809,13.301643979220662,-0.5348132501045862
