hour_ahead,day,MAE,RMSE,R2
1,Day 1,9.65610408782959,11.629435031645924,0.06957423686981201
2,Day 1,10.421018600463867,12.477148912917453,-0.07137584686279297
3,Day 1,11.380685806274414,13.5138552174024,-0.25554394721984863
4,Day 1,8.349540710449219,10.512063135964876,0.23680979013442993
5,Day 1,10.401604652404785,12.472595080886649,-0.07976031303405762
6,Day 1,10.003639221191406,12.11458242366631,-0.030203819274902344
7,Day 1,8.666353225708008,10.884908787805603,0.15854346752166748
8,Day 1,10.998180389404297,13.079215274334421,-0.2286977767944336
9,Day 1,10.319096565246582,12.51847024072705,-0.13233888149261475
10,Day 1,9.89552116394043,12.072154870518082,-0.06396865844726562
11,Day 1,10.024191856384277,12.282949548433999,-0.11443960666656494
12,Day 1,10.552207946777344,12.713779237312451,-0.1954723596572876
13,Day 1,10.10451889038086,12.17432368160516,-0.09326457977294922
14,Day 1,9.291861534118652,11.489985210253142,0.030271291732788086
15,Day 1,9.559223175048828,11.727514300771698,-0.021911263465881348
16,Day 1,10.255696296691895,12.47688353238356,-0.16619598865509033
17,Day 1,8.929231643676758,11.131148792901254,0.06496173143386841
18,Day 1,10.75860595703125,12.960351784723633,-0.26870179176330566
19,Day 1,10.092291831970215,12.668577016694877,-0.2133711576461792
20,Day 1,9.575242042541504,11.969668519952382,-0.09399008750915527
21,Day 1,10.234037399291992,12.385121531562074,-0.1915832757949829
22,Day 1,10.449146270751953,12.630369347663528,-0.2585076093673706
23,Day 1,9.922629356384277,11.92573518865982,-0.13796484470367432
24,Day 1,10.1006498336792,12.316422975131365,-0.22295749187469482
25,Day 2,10.021252632141113,12.27143199520295,-0.22066795825958252
26,Day 2,11.283049583435059,13.376499555430984,-0.46775102615356445
27,Day 2,11.082466125488281,13.15969651263613,-0.4390155076980591
28,Day 2,10.482433319091797,12.68092634409395,-0.34747493267059326
29,Day 2,11.678977966308594,13.726451892873948,-0.5912054777145386
30,Day 2,13.104530334472656,15.233038302735839,-0.9666926860809326
31,Day 2,11.390055656433105,13.358412108939655,-0.525094747543335
32,Day 2,11.686014175415039,13.681234519534984,-0.6141452789306641
33,Day 2,10.369929313659668,12.676421642143893,-0.40363848209381104
34,Day 2,12.232690811157227,14.357160295748338,-0.8069021701812744
35,Day 2,12.131490707397461,14.313392844524309,-0.8119547367095947
36,Day 2,11.993886947631836,13.99772734588045,-0.7420254945755005
37,Day 2,11.490213394165039,13.44471327107448,-0.610249400138855
38,Day 2,10.221267700195312,12.322675963260084,-0.3569720983505249
39,Day 2,11.000763893127441,13.255070705736069,-0.563141942024231
40,Day 2,10.896610260009766,12.926954016191083,-0.4752998352050781
41,Day 2,10.453436851501465,12.409541464548623,-0.35216474533081055
42,Day 2,11.320218086242676,13.415931318203953,-0.5777226686477661
43,Day 2,11.805243492126465,13.946889135313809,-0.6999011039733887
44,Day 2,10.56700611114502,12.764135565649608,-0.4108492136001587
45,Day 2,10.933095932006836,13.07138825052253,-0.4708390235900879
46,Day 2,11.411762237548828,13.742114215978559,-0.6220206022262573
47,Day 2,10.393279075622559,12.663454016458271,-0.36955928802490234
48,Day 2,11.322480201721191,13.47368798600947,-0.548264741897583
49,Day 3,11.511168479919434,13.683876428888626,-0.5962948799133301
50,Day 3,11.283036231994629,13.472570174050924,-0.5442463159561157
51,Day 3,11.5629243850708,13.716885728967872,-0.5974913835525513
52,Day 3,11.402682304382324,13.417688429568216,-0.5278224945068359
53,Day 3,11.57712459564209,13.612517912601565,-0.5727741718292236
54,Day 3,10.583721160888672,12.521263043249359,-0.3324977159500122
55,Day 3,11.643465042114258,13.739351900632506,-0.6104658842086792
56,Day 3,10.399752616882324,12.338487184059922,-0.30105602741241455
57,Day 3,10.920231819152832,12.770864132983524,-0.3960157632827759
58,Day 3,10.851082801818848,12.631149758191738,-0.3721015453338623
59,Day 3,10.929278373718262,12.826855168005,-0.4240912199020386
60,Day 3,11.55519962310791,13.562618132046007,-0.596246600151062
61,Day 3,11.081528663635254,12.95896833198894,-0.45807111263275146
62,Day 3,11.597502708435059,13.560541670791526,-0.596771240234375
63,Day 3,12.934139251708984,15.034749787471522,-0.9718201160430908
64,Day 3,10.445810317993164,12.471481138857365,-0.3653566837310791
65,Day 3,10.616602897644043,12.563783798286172,-0.3866417407989502
66,Day 3,11.610095024108887,13.853152007995892,-0.6863151788711548
67,Day 3,11.542084693908691,13.923602783674168,-0.704367995262146
68,Day 3,11.157281875610352,13.372979983082667,-0.572281002998352
69,Day 3,11.767631530761719,14.001020121874156,-0.7230583429336548
70,Day 3,10.57209300994873,12.668957017995922,-0.40984320640563965
71,Day 3,11.065786361694336,13.05638278658092,-0.49694395065307617
72,Day 3,11.109235763549805,13.47970807945137,-0.5929434299468994
